pattern	symbol	id	name	tier	amount	keyword	description	effects	damage_components	extras	leech
direct_hit	anvil	anvil	Anvil	basic	1	stun					
direct_hit	bash	bash	Bash	basic	1	stun					
direct_hit	fangs	fangs	Fangs	basic	1	bleed					
direct_hit	kindling	kindling	Kindling	basic	1	burn					
direct_hit	rayOfFrost	ray-of-frost	Ray of Frost	basic	1	freeze					
direct_hit	slash	slash	Slash	basic	1	physical					
direct_hit	stab	stab	Stab	basic	2	physical					
direct_hit	gamblersShot	gamblers-shot	Gambler's Shot	basic	1	physical				resource_gain:gold:1	
buff_only	block	block	Block	basic				shield:block:2|thorns:physical:1:6			
buff_only	bread	bread	Bread	basic				instant_heal:health:1			
buff_only	smellingSalts	smelling-salts	Smelling Salts	basic				cleanse:stun|instant_heal:health:1			
direct_hit	burningBlade	burning-blade	Burning Blade	skill	3	burn					
direct_hit	fireball	fireball	Fireball	skill	2	burn					
direct_hit	frostbolt	frostbolt	Frostbolt	skill	2	freeze					
direct_hit	lightningArrow	lightning-arrow	Lightning Arrow	skill	3	nature					
direct_hit	lightningBolt	lightning-bolt	Lightning Bolt	skill	3	nature					
direct_hit	poisonDagger	poison-dagger	Poison Dagger	skill	3	poison					
direct_hit	sapArrow	sap-arrow	Sap Arrow	skill	3	stun					
direct_hit	roulette	roulette	Roulette	skill	3	physical				resource_gain:gold:3	
buff_only	haste	haste	Haste	skill				mitigation:armor:2			
buff_only	healthPotion	health-potion	Health Potion	skill				instant_heal:health:3			
buff_only	stoneskinPotion	stoneskin-potion	Stoneskin Potion	skill				mitigation:armor:3			
buff_only	tithe	tithe	Tithe	skill				resource_gain:gold:2|instant_heal:health:1			
direct_hit	blessedAegis	blessed-aegis	Blessed Aegis	ultimate	6	holy				shield:block:4	
buff_only	avatarOfJustice	avatar-of-justice	Avatar of Justice	ultimate				shield:block:5|mitigation:armor:2|damage_keyword_override:holy:3:6			
direct_hit	holyRadiance	holy-radiance	Holy Radiance	ultimate	6	holy				instant_heal:health:3	
direct_hit	sunburst	sunburst	Sunburst	ultimate	6	holy				instant_heal:health:2	
buff_only	luckPotion	luck-potion	Luck Potion	ultimate				resource_gain:gold:3|instant_heal:health:2			
buff_only	plateMail	plate-mail	Plate Mail	skill				mitigation:armor:3		
buff_only	sanctifiedPlate	sanctified-plate	Sanctified Plate	ultimate				mitigation:armor:3|instant_heal:health:2			
multi_damage	bloodthorn	bloodthorn	Bloodthorn	ultimate				bleed:2|poison:2	2:nature|2:bleed|2:poison		true
multi_damage	faustianBargain	faustian-bargain	Faustian Bargain	ultimate				resource_gain:gold:3	6:physical|3:physical:actor		
