id	title	slot	keywords	weight	basic_description	astral_description	basic_modifiers	astral_modifiers	basic_triggers	astral_triggers
keen	Keen	weapon	physical	12	Increase Physical damage by 1.	Increase Physical damage by 3.	damage_dealt:physical:1	damage_dealt:physical:3
serrated	Serrated	weapon	bleed	10	Increase Bleed damage by 1.	Increase Bleed damage by 2.	damage_dealt:bleed:1	damage_dealt:bleed:2
envenomed	Envenomed	weapon	poison	10	Increase Poison damage by 1.	Increase Poison damage by 2.	damage_dealt:poison:1	damage_dealt:poison:2
smoldering	Smoldering	weapon	burn	10	Increase Burn damage by 1.	Increase Burn damage by 2.	damage_dealt:burn:1	damage_dealt:burn:2
consecrated	Consecrated	weapon	holy	8	Increase Holy damage by 1.	Increase Holy damage by 3.	damage_dealt:holy:1	damage_dealt:holy:3
glacial	Glacial	weapon	freeze	8	Increase Freeze damage by 1.	Increase Freeze damage by 2.	damage_dealt:freeze:1	damage_dealt:freeze:2
channeled	Channeled	weapon	mana	8	Increase Maximum Mana by 4.	Increase Maximum Mana by 8.	maximum_mana:4	maximum_mana:8
concussive	Concussive	weapon	stun	8	Increase Stun damage by 1.	Increase Stun damage by 2.	damage_dealt:stun:1	damage_dealt:stun:2
lingering	Lingering	weapon	bleed	8	Bleed lasts 1 additional turn.	Bleed lasts 2 additional turns.	bleed_duration:1	bleed_duration:2
sentinel	Sentinel	weapon	block	8	Gain 1 additional Block.	Gain 3 additional Block.	block_gained:1	block_gained:3
fortified	Fortified	weapon	block	8	Gain 1 additional Block.	Gain 2 additional Block.	block_gained:1	block_gained:2
defenders	Defender's	weapon	block	8	Gain 2 additional Block.	Gain 4 additional Block.	block_gained:2	block_gained:4
leeching	Leeching	weapon	leech	8	Leech restores 5% more.	Leech restores 10% more.	leech_gained_percent:0.05	leech_gained_percent:0.10
bulwark	Bulwark	armor	block	12	Gain 2 additional Block.	Gain 5 additional Block.	block_gained:2	block_gained:5
vital	Vital	armor	health	10	Restore 1 additional Health.	Restore 3 additional Health.	health_restored:1	health_restored:3
emberguard	Emberguard	armor	burn,block	8	Take 10% less Burn damage.	Take 25% less Burn damage.	damage_taken_percent:burn:0.10	damage_taken_percent:burn:0.25
antidotal	Antidotal	armor	poison,health	8	Take 20% less Poison damage.	Take 30% less Poison damage.	damage_taken_percent:poison:0.20	damage_taken_percent:poison:0.30
