id	name	role	max_health	max_mana	basics	skills	ultimates
knight	Knight	hero	17	0	bash,block	smite,sunder	avatarOfJustice,moltenBulwark
ranger	Ranger	hero	14	0	venomArrow,fireArrow	sapArrow,bountyShot	packTactics,astralArrow
rogue	Rogue	hero	14	0	stab,blackjack	poisonDagger,serratedEdge	hemorrhage,shadowstep
wizard	Wizard	hero	14	10	manaBerries,rayOfFrost	fireball,glacialWard	meteor,blizzard
warlock	Warlock	hero	16	9	kindling,fangs	bloodOffering,darkPact	combustion,faustianBargain
wolf	Wolf	companion	14	0	fangs,rendingSlash	pounce,predatorsFocus	packTactics,hemorrhage
bear	Bear	companion	17	0	maul,fangs	briarShield,sunder	earthquake,thornMail
frost_whelp	Frost Whelp	companion	14	8	rayOfFrost,iceShot	frostbolt,coldSnap	blizzard,astralArrow
lizard_scout	Lizard Scout	companion	14	0	stab,blackjack	serratedEdge,poisonDagger	hemorrhage,steal
panther	Panther	companion	15	0	rendingSlash,fangs	pounce,venomFangs	shadowstep,bloodthorn
phoenix	Phoenix	companion	14	8	kindling,fireArrow	fireball,cinderbloom	phoenixFeather,combustion
golden_retriever	Golden Retriever	companion	16	0	apple,sniffOut	stoneskinPotion,tithe	luckPotion,goldenPlate
library_owl	Library Owl	companion	14	8	apple,stargaze	heal,cleanse	panaceaPotion,sunburst
risen_skeleton	Risen Skeleton	companion	15	0	slash,block	darkPact,sunder	faustianBargain,hemorrhage
mana_moth	Mana Moth	companion	14	11	manaBerries,pixieDust	manaPotion,manaShield	meteor,blizzard
pixie	Pixie	companion	14	7	pixieDust,manaBerries	cleanse,heal	panaceaPotion,sunburst
shield_scarab	Shield Scarab	companion	16	0	block,shieldBash	spikedShield,stoneskinPotion	thornMail,blessedAegis
fox	Fox	companion	14	0	sniffOut,fangs	steal,pounce	shadowstep,luckPotion
