# id	swift_symbol	asset_name	source_path	volume_gain
ui_confirm	uiConfirm	sfx_ui_confirm	Raw Assets/Sound Effects/interface/feedback/confirm.wav	1.0
ui_cancel	uiCancel	sfx_ui_cancel	Raw Assets/Sound Effects/interface/feedback/cancel.wav	1.0
ui_deny	uiDeny	sfx_ui_deny	Raw Assets/Sound Effects/interface/feedback/deny.wav	1.0
ui_toggle_on	uiToggleOn	sfx_ui_toggle_on	Raw Assets/Sound Effects/interface/toggles/toggle_on.wav	1.0
ui_toggle_off	uiToggleOff	sfx_ui_toggle_off	Raw Assets/Sound Effects/interface/toggles/toggle_off.wav	1.0
ui_equip	uiEquip	sfx_ui_equip	Raw Assets/Sound Effects/interface/inventory/equip_01.wav	1.0
ui_buy_sell	uiBuySell	sfx_ui_buy_sell	Raw Assets/Sound Effects/interface/shop/buy_sell_01.wav	1.0
ability_draw	abilityDraw	sfx_ability_draw	Raw Assets/Sound Effects/cards/hand/card_draw_02.wav	1.0
hit	hit	sfx_hit	Raw Assets/Sound Effects/combat/attacks/hit_01.wav	1.0
hit_burn	hitBurn	sfx_hit_burn	Raw Assets/Sound Effects/magic/elemental/fire/fireball_01.ogg	1.0
hit_freeze	hitFreeze	sfx_hit_freeze	Raw Assets/Sound Effects/magic/elemental/ice/ice_throw_01.ogg	1.0
heal	heal	sfx_heal	Raw Assets/Sound Effects/magic/support/heal_01.wav	1.0
buff	buff	sfx_buff	Raw Assets/Sound Effects/magic/support/buff_01.wav	1.0
block	block	sfx_block	Raw Assets/Sound Effects/combat/defense/block_01.ogg	1.0
control_freeze	controlFreeze	sfx_control_freeze	Raw Assets/Sound Effects/magic/elemental/ice/freeze_01.ogg	1.0
control_stun	controlStun	sfx_control_stun	Raw Assets/Sound Effects/combat/status/stun_01.wav	1.0
purge	purge	sfx_purge	Raw Assets/Sound Effects/magic/support/purge_01.wav	1.0
deaths_door	deathsDoor	sfx_deaths_door	Raw Assets/Sound Effects/outcomes/defeat/deaths_door.wav	1.0
victory	victory	sfx_victory	Raw Assets/Sound Effects/outcomes/victory/victory_01.wav	1.0
defeat	defeat	sfx_defeat	Raw Assets/Sound Effects/outcomes/defeat/defeat_01.wav	1.0
mystery_event	mysteryEvent	sfx_mystery_event	Raw Assets/Sound Effects/outcomes/events/mystery_event.wav	1.0
